Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Tenure Type,Property Type,Parking Lot,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station
4.0,2.0,1000.0,1,1,0,5,2.0,1,1,1,1,1,340000.0,0,0,0
3.0,2.0,980.0,0,0,0,0,1.0,0,0,0,0,0,250000.0,0,0,0
3.0,2.0,1000.0,0,0,0,0,1.0,0,0,0,0,0,230000.0,1,0,0
3.0,1.0,592.0,0,0,1,3,1.0,0,0,0,0,0,158000.0,0,0,0
1.0,1.0,467.0,1,1,0,6,1.0,1,1,1,1,1,305000.0,0,0,0
3.0,2.0,1100.0,0,0,0,1,1.0,0,0,0,0,0,425000.0,0,0,0
3.0,2.0,780.0,0,0,0,1,1.0,0,0,0,0,0,230000.0,0,0,0
3.0,2.0,852.0,0,0,1,0,1.0,1,0,1,1,0,200000.0,0,0,0
3.0,2.0,918.0,1,1,1,0,1.0,1,1,1,1,0,275000.0,0,0,0
3.0,2.0,850.0,0,0,0,0,2.0,1,0,1,0,1,300000.0,0,0,0
3.0,2.0,660.0,0,0,0,0,1.0,0,0,0,0,0,265000.0,0,0,0
3.0,2.0,1246.0,0,0,0,1,2.0,0,0,0,0,0,790000.0,0,0,0
2.0,1.0,550.0,0,0,0,3,1.0,0,0,0,0,0,230000.0,0,0,0
3.0,2.0,1250.0,0,0,0,1,2.0,0,0,0,0,0,340000.0,0,0,0
3.0,2.0,1048.0,1,0,0,0,1.0,1,0,1,1,0,230000.0,1,1,1
3.0,2.0,1150.0,0,0,0,1,1.0,0,0,0,0,0,430000.0,0,0,0
2.0,1.0,553.0,0,0,1,3,1.0,0,0,0,0,0,155000.0,0,0,0
3.0,2.0,901.0,0,0,0,1,2.0,0,0,0,0,0,500000.0,0,0,0
1.0,1.0,452.0,1,1,0,6,1.0,1,1,0,1,0,350000.0,0,0,0
2.0,2.0,1016.0,0,0,0,1,2.0,0,0,0,0,0,620000.0,0,0,0
4.0,2.0,900.0,0,0,0,0,2.0,0,0,0,1,0,310000.0,0,0,0
3.0,2.0,650.0,0,0,1,0,1.0,0,0,0,0,0,240000.0,0,0,0
3.0,2.0,1182.0,0,0,0,1,2.0,0,0,0,0,0,500000.0,0,0,0
3.0,2.0,872.0,0,0,0,0,2.0,0,0,0,0,0,341500.0,0,0,0
1.0,2.0,450.0,0,1,0,1,1.0,0,1,0,0,0,230500.0,0,0,0
2.0,2.0,1005.0,0,0,0,1,1.0,0,0,0,0,0,515000.0,0,0,0
1.0,1.0,430.0,0,0,0,5,1.0,0,0,0,0,0,200000.0,0,0,0
3.0,2.0,1050.0,0,0,0,5,1.0,0,0,0,0,0,298000.0,0,0,0
3.0,2.0,986.0,0,0,0,0,2.0,0,0,0,0,0,418000.0,0,0,0
3.0,2.0,950.0,0,1,0,0,1.0,0,1,0,0,0,220000.0,1,1,1
3.0,2.0,1055.0,1,0,1,1,2.0,1,0,1,1,0,320000.0,0,0,0
3.0,2.0,1017.0,0,0,0,5,2.0,0,0,0,0,0,280000.0,0,0,0
4.0,3.0,1387.0,0,0,0,5,2.0,0,0,0,0,0,1150000.0,0,0,0
3.0,2.0,720.0,0,0,1,1,1.0,0,0,0,0,0,320000.0,0,0,0
4.0,4.0,1474.0,1,0,0,1,2.0,1,0,1,1,0,880000.0,0,0,0
2.0,1.0,788.0,0,0,1,5,1.0,0,0,0,0,0,550000.0,0,0,0
2.0,1.0,517.0,0,0,0,0,1.0,0,0,0,0,0,180000.0,0,0,0
3.0,2.0,650.0,0,0,1,3,1.0,0,0,0,0,0,200000.0,0,0,0
3.0,2.0,850.0,0,0,0,0,2.0,1,0,0,0,1,300000.0,0,0,0
3.0,2.0,800.0,0,0,1,0,2.0,0,0,0,0,0,438000.0,0,0,0
3.0,2.0,1432.0,0,0,1,1,2.0,0,0,0,0,0,700000.0,0,0,0
